Name,Package,Tags,Score,Developers,Version,MD5,Download_URL
QQ游戏,com.tencent.qqgame,游戏社区,4.8,深圳市腾讯计算机系统有限公司,8.4.5,E49821B5F11FF20569C92CE2AB879A4A,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/E49821B5F11FF20569C92CE2AB879A4A.apk?fsname=com.tencent.qqgame_8.4.5.apk
书旗小说,com.shuqi.controller,电子书城,3.4,广州阿里巴巴文学信息技术有限公司,12.2.9.227,8560CE1619DF4ADBC194168192B1807B,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/8560CE1619DF4ADBC194168192B1807B.apk?fsname=com.shuqi.controller_12.2.9.227.apk
搜狐新闻,com.sohu.newsclient,综合新闻,4.2,北京搜狐互联网信息服务有限公司,7.3.0,7BED67A7D5DB10FF8E5E871C69CD3618,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/7BED67A7D5DB10FF8E5E871C69CD3618.apk?fsname=com.sohu.newsclient_7.3.0.apk
交管12123,com.tmri.app.main,违章查询,3.4,公安部交通管理科学研究所,3.1.8,8533B7EB45442FA423BA62EC3BAF856D,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/8533B7EB45442FA423BA62EC3BAF856D.apk?fsname=com.tmri.app.main_3.1.8.apk
掌上英雄联盟,com.tencent.qt.qtl,游戏攻略,3.8,腾讯计算机系统有限公司,10.13.1,4A9CC2ABC6F4294C8FC844561B5CF6BF,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/4A9CC2ABC6F4294C8FC844561B5CF6BF.apk?fsname=com.tencent.qt.qtl_10.13.1.apk
中国移动,com.greenpoint.android.mc10086.activity,营业厅,3.0,中移在线服务有限公司,11.6.0,0A43223A3C4A2CC556ADC8C2DE38917D,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/0A43223A3C4A2CC556ADC8C2DE38917D.apk?fsname=com.greenpoint.android.mc10086.activity_11.6.0.apk
百度贴吧,com.baidu.tieba,兴趣社区,3.5,北京百度网讯科技有限公司,12.75.1.0,F3050F03A78D11DEA90FE6C18FAFFCAE,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/F3050F03A78D11DEA90FE6C18FAFFCAE.apk?fsname=com.baidu.tieba_12.75.1.0.apk
探探,com.p1.mobile.putong,匿名/陌生人,4.5,探探文化发展（北京）有限公司,6.5.4.1,2738914BD4D57441526E23DA7EE564E4,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/2738914BD4D57441526E23DA7EE564E4.apk?fsname=com.p1.mobile.putong_6.5.4.1.apk
汽车之家,com.cubic.autohome,汽车社区,3.8,北京车之家信息技术有限公司,11.69.5,45E6017123913BEA1A6B70AE9F7BEAE7,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/45E6017123913BEA1A6B70AE9F7BEAE7.apk?fsname=com.cubic.autohome_11.69.5.apk
小猿搜题,com.fenbi.android.solar,作业题库,4.6,北京猿力教育科技有限公司,11.61.1,2522F91EC6C8727B65BC62B34949B692,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/2522F91EC6C8727B65BC62B34949B692.apk?fsname=com.fenbi.android.solar_11.61.1.apk
